date,headline,source_domain,url,language,social_image,raw_seendate
2024-02-12,Nigerian Govt announces approval for 105 drug manufacturing firms,dailypost.ng,https://dailypost.ng/2024/02/12/nigerian-govt-announces-approval-for-105-drug-manufacturing-firms/,English,https://dailypost.ng/wp-content/uploads/2023/05/Mojisola-Adeyeye-.jpg,20240212T140000Z
2024-02-12,Dr Reddy formulations facility : USFDA  close inspection,thehindubusinessline.com,https://www.thehindubusinessline.com/news/dr-reddys-formulations-facility-usfda-closes-inspection/article67837197.ece,English,https://bl-i.thgim.com/public/incoming/p9ifye/article67817648.ece/alternates/LANDSCAPE_1200/Dr%20Reddy%E2%80%99s%20Laboratories.jpg,20240212T061500Z
2024-02-12,"Фармкомпания Gilead покупает CymaBay за $4 , 3 млрд",kommersant.ru,https://www.kommersant.ru/doc/6508679,Russian,https://im.kommersant.ru/SocialPics/6508679_49_0_1281290724,20240212T191500Z
2024-02-12,போதை மாத்திரைகளை பயன்படுத்துவோர் எண்ணிக்கை அதிகரிப்பு ! - பொலிஸ்மா அதிபர் நிஹால் தல்துவ,virakesari.lk,https://www.virakesari.lk/article/176183,Tamil,https://cdn.virakesari.lk/uploads/post/featured_image/176183/thumb_large_nihal.jpg,20240212T121500Z
2024-02-12,Haiti - UEH : Postgraduate program in medicine supply chain management - HaitiLibre . com : Haiti news 7 / 7,haitilibre.com,https://www.haitilibre.com/en/news-41653-haiti-ueh-postgraduate-program-in-medicine-supply-chain-management.html,English,https://www.haitilibre.com/images-a/g-41653.jpg,20240212T170000Z
2024-02-12,"More salads recalled at No Frills , Food Basics , other stores | News",toronto.com,https://www.toronto.com/news/throw-them-away-more-salads-sold-at-no-frills-food-basics-metro-loblaws-shoppers-drug/article_fac59a18-d5c1-5a08-aaab-7016d2f57a8e.html,English,https://bloximages.newyork1.vip.townnews.com/toronto.com/content/tncms/assets/v3/editorial/1/85/1851fcf9-83ab-50e3-a402-98d48337e45b/65ca910496453.image.jpg?crop=1763%2C926%2C0%2C125,20240212T231500Z
2024-02-12,USFDA grants VAI classification to Dr Reddy R & D centre,economictimes.indiatimes.com,https://economictimes.indiatimes.com/industry/healthcare/biotech/pharmaceuticals/usfda-grants-vai-classification-to-dr-reddys-rd-centre/articleshow/107631981.cms,English,"https://img.etimg.com/thumb/msid-107632191,width-1200,height-630,imgsize-101918,overlay-economictimes/photo.jpg",20240212T124500Z
2024-02-12,US lawmakers call for sanctions on China WuXi AppTec biotech firm,finance.yahoo.com,https://finance.yahoo.com/news/us-lawmakers-call-sanctions-chinas-195332324.html,English,https://media.zenfs.com/en/reuters-finance.com/1e64d41ffbee5cd19bd5a310f4d33abc,20240212T204500Z
2024-02-12,Hawks arrest nine in discovery of drug lab,enca.com,https://www.enca.com/top-stories/hawks-arrest-nine-discovery-drug-lab,English,https://www.enca.com/sites/default/files/2024-02/Krugersdorp%20drug%20super%20lab.png,20240212T191500Z
2024-02-12,"Nigeria : As Multinational Pharmaceutical Companies Exit Nigeria , NAFDAC Says Local Manufacturers Increase By 12 Percent",allafrica.com,https://allafrica.com/stories/202402120153.html,English,,20240212T100000Z
2024-02-11,"Posts sanctioned to the CDSCO increased , among measures to ensure medicine quality , says MoS Health Bharati Pawar",thehindubusinessline.com,https://www.thehindubusinessline.com/news/national/posts-sanctioned-to-cdsco-increased-among-measures-to-ensure-medicine-quality-says-mos-health-bharati-pawar/article67832365.ece,English,https://bl-i.thgim.com/public/todays-paper/tp-others/tp-variety/2nbnjf/article54348847.ece/alternates/LANDSCAPE_1200/bl15-ndmpi-remdG767GJ3KG3jpgjpg,20240211T084500Z
2024-02-11,"  Volví a sentir molestias de menstruación , dice hombre trans que sufre por falta de testosterona en CCSS",nacion.com,https://www.nacion.com/el-pais/salud/volvi-a-sentir-molestias-de-menstruacion-dice/OT2FTZQRD5CT5EHHNP4EPOOA4M/story/,Spanish,https://www.nacion.com/resizer/sHneFtywJ4oNWslT7tqXBpQj4f8=/1440x0/filters:format(jpg):quality(70)/cloudfront-us-east-1.images.arcpublishing.com/gruponacion/WLMIQ2HJMBC7VOYUCXIOWQEO2Q.jpg,20240211T220000Z
