date,headline,source_domain,url,language,social_image,raw_seendate,category,urgency_score,companies_mentioned,countries_mentioned
2024-04-13,MP : Acute Shortage Of TB Medicines In State ; To Affect 1 Lakh Patients,freepressjournal.in,https://www.freepressjournal.in/bhopal/mp-acute-shortage-of-tb-medicines-in-state-to-affect-1-lakh-patients,English,https://media.assettype.com/freepressjournal/2022-03/6780d50b-0a53-4a7a-930e-1fc726753585/drug_price.avif,20240413T043000Z,Drug Shortage,5,None,Global
2024-04-13,The U . S . Is Facing Record Drug Shortages,zerohedge.com,https://www.zerohedge.com/markets/us-facing-record-drug-shortages,English,https://assets.zerohedge.com/s3fs-public/styles/16_9_max_700/public/2024-04/drugs.jpg?itok=Rpz1reeo,20240413T213000Z,Drug Shortage,3,None,Global
2024-04-12,Mexico faces dire medical fentanyl shortage despite being top illegal producer,foxnews.com,https://www.foxnews.com/world/mexico-faces-dire-medical-fentanyl-shortage-worlds-top-illegal-producer,English,https://static.foxnews.com/foxnews.com/content/uploads/2023/11/Border-Patrol-fentanyl-Seizure-4.jpg,20240412T224500Z,Drug Shortage,5,None,Global
2024-04-12,US Pharmaceutical Drug Shortages Reach Record High,theepochtimes.com,https://www.theepochtimes.com/health/us-pharmaceutical-drug-shortages-reach-record-high-5627738,English,https://img.theepochtimes.com/assets/uploads/2024/04/12/id5628164-shutterstock_2291810423-1080x720.jpg,20240412T204500Z,Drug Shortage,3,None,Global
2024-04-12,"Drug shortages hit record - high with hundreds in short supply : Pharmacists – KTBB News , Weather , Talk",ktbb.com,https://ktbb.com/post/?p=1313555,English,https://ktbb.com/post/wp-content/media/2024/04/3bce5670a00edb15e832f4853070d5d3.jpg,20240412T190000Z,Drug Shortage,3,None,Global
2024-04-12,Insulin shortage leaves patients vulnerable to serious health risks,nbc-2.com,https://www.nbc-2.com/article/insulin-shortage-serious-health-risks/60471398,English,"https://kubrick.htvapps.com/vidthumb/images/nbc2-insulin-shortage-66186cd5b3a0e.jpg?crop=1xw:1xh;center,top",20240412T004500Z,Drug Shortage,4,None,Global
2024-04-12,"Drug shortages have reached all - time high in the United States , pharmacists are warning",abc13.com,https://abc13.com/drug-shortages-have-reached-all-time-high-in-the-united-states-pharmacists-are-warning/14652510/,English,https://cdn.abcotvs.com/dip/images/14652528_041224-wpvi-n1-prescription-drug-shortage-pkg-video-vid.jpg,20240412T193000Z,Drug Shortage,3,None,United States
2024-04-12,Drug shortages reach record high in US,cnn.com,https://www.cnn.com/2024/04/12/health/drug-shortage-record-high/,English,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-1406712294.jpg?c=16x9&q=w_800,c_fill",20240412T163000Z,Drug Shortage,3,None,Global
2024-04-12,"US Faces All - Time High Drug Shortage , Data Shows | The Daily Caller",dailycaller.com,https://dailycaller.com/2024/04/12/us-united-states-worst-drug-shortage-data/,English,https://cdn01.dailycaller.com/wp-content/uploads/2023/05/GettyImages-71963535-scaled-e1683742294178.jpg,20240412T211500Z,Drug Shortage,3,None,Global
2024-04-12,US drug shortages reach record high with 323 meds now in short supply,arstechnica.com,https://arstechnica.com/science/2024/04/us-drug-shortages-reach-record-high-with-323-meds-now-in-short-supply/,English,https://cdn.arstechnica.net/wp-content/uploads/2024/04/GettyImages-1815420209-760x380.jpeg,20240412T224500Z,Drug Shortage,3,None,Global
2024-04-12,Drug shortages hit record - high with hundreds in short supply : Pharmacists,wjnt.com,https://www.wjnt.com/syndicated-article/?id=1558856,English,https://s3.amazonaws.com/syndication.abcaudio.com/files/2024-04-12/Getty_041224_MedicineBottle-STOCK.JPG?icb=1712961099,20240412T224500Z,Drug Shortage,3,None,Global
2024-04-12,Drug shortages in U . S . at highest level on record since 2001,seekingalpha.com,https://seekingalpha.com/news/4089131-drug-shortages-us-highest-level-on-record,English,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1251485255/image_1251485255.jpg?io=getty-c-w750,20240412T094500Z,Drug Shortage,3,None,Global
2024-04-11,US drug shortages reach all - time high : Cancer and diabetes patients waiting deadly amount of time for lifesaving drugs,dailymail.co.uk,https://www.dailymail.co.uk/health/article-13298049/us-drug-shortages-cancer-patients-wait-time-lifesaving-drugs.html,English,https://i.dailymail.co.uk/1s/2024/04/11/17/80513105-0-image-m-37_1712852557200.jpg,20240411T191500Z,Drug Shortage,4,None,Global
2024-04-11,What to know about the Aruba Aloe brand recall,ktvb.com,https://www.ktvb.com/article/news/verify/recalls-verify/recall-aruba-aloe-brand-hand-sanitizer-and-gels/536-4eb07201-612d-4a08-8846-12d8dd5b1349,English,https://media.ktvb.com/assets/VERIFY/images/edfd8caa-d203-4061-87fe-81b1a79a357b/edfd8caa-d203-4061-87fe-81b1a79a357b_1140x641.jpg,20240411T011500Z,Product Recall/Quality,3,None,Global
2024-04-11,The VA Drug Pricing Model : What Senators Should Know,heritage.org,https://www.heritage.org/health-care-reform/report/the-va-drug-pricing-model-what-senators-should-know,English,https://www.heritage.org/themes/heritage/src/images/bell.png,20240411T004500Z,Pricing/Economics,1,None,Global
2024-04-10,"Laundry products recall at No Frills , Walmart , other stores",stcatharinesstandard.ca,https://www.stcatharinesstandard.ca/news/out-of-sight-major-tide-recall-at-no-frills-food-basics-walmart-shoppers-drug-mart/article_490b52b7-8827-587e-bf69-133b793115af.html,English,https://bloximages.chicago2.vip.townnews.com/stcatharinesstandard.ca/content/tncms/assets/v3/editorial/c/08/c086c911-7d72-5fdc-a981-afff2e7b5abb/6615d567588f4.image.png?crop=1872%2C983%2C118%2C0,20240410T010000Z,Product Recall/Quality,3,None,Global
2024-04-10,"Laundry products recall at No Frills , Walmart , other stores | News",toronto.com,https://www.toronto.com/news/out-of-sight-major-tide-recall-at-no-frills-food-basics-walmart-shoppers-drug-mart/article_ed896033-12df-5bcb-84e9-3507ab856b9b.html,English,https://bloximages.newyork1.vip.townnews.com/toronto.com/content/tncms/assets/v3/editorial/8/4d/84de243d-2cfc-5ffa-94d0-80bb56b0061a/6615d56574c69.image.jpg?crop=1916%2C1006%2C0%2C38,20240410T020000Z,Product Recall/Quality,3,None,Global
2024-04-10,"API Innovation Center looks to bolster US cancer drug supplies with Apertus deal , new tech",fiercepharma.com,https://www.fiercepharma.com/manufacturing/api-innovation-center-looks-bolster-us-cancer-drug-supplies-apertus-deal-new,English,https://qtxasset.com/quartz/qcloud5/media/image/GettyImages-1499814881.jpg?VersionId=yA.ZOV.2TMIs4ndptam9FJA.V7htYX7v,20240410T221500Z,API/Manufacturing,2,None,Global
2024-04-10,One in seven drug supply chain issue reports tied to drug shortages,medicalxpress.com,https://medicalxpress.com/news/2024-04-drug-chain-issue-shortages.html,English,https://scx2.b-cdn.net/gfx/news/2024/one-in-seven-drug-supp.jpg,20240410T174500Z,Drug Shortage,3,None,Global
2024-04-09,"The API Innovation Center , Apertus Pharmaceuticals Bring API Production of Critical Generic Cancer Drug to U . S . Soil",streetinsider.com,"https://www.streetinsider.com/Business+Wire/The+API+Innovation+Center,+Apertus+Pharmaceuticals+Bring+API+Production+of+Critical+Generic+Cancer+Drug+to+U.S.+Soil/23044660.html",English,,20240409T134500Z,API/Manufacturing,4,None,Global
2024-04-09,"Pertussis cases top 1 , 000 as govt scrambles for vaccines",philstar.com,https://www.philstar.com/headlines/2024/04/09/2346449/pertussis-cases-top-1000-govt-scrambles-vaccines,English,https://media.philstar.com/photos/2024/04/09/42024-03-2801-09-142024-04-0323-13-24_2024-04-09_14-51-32.jpg,20240409T081500Z,Vaccines,1,None,Global
2024-04-09,DHOs complain about shortage of essential medicines in KP - Pakistan,dawn.com,https://www.dawn.com/news/1826567/dhos-complain-about-shortage-of-essential-medicines-in-kp,English,,20240409T090000Z,Drug Shortage,3,None,Global
2024-04-08,DOH expecting shortage on pertussis vaccines,philstar.com,https://www.philstar.com/headlines/2024/04/09/2346271/doh-expecting-shortage-pertussis-vaccines,English,https://media.philstar.com/photos/2024/04/08/a1322_2024-04-08_21-36-23.jpg,20240408T163000Z,Drug Shortage,3,None,Global
2024-04-06,US drugs with noted supply - chain risks 5 times more likely to go into shortage in early COVID,cidrap.umn.edu,https://www.cidrap.umn.edu/covid-19/us-drugs-noted-supply-chain-risks-5-times-more-likely-go-shortage-early-covid,English,https://www.cidrap.umn.edu/themes/custom/cidrap_theme/images/cidrap-og-image.jpg,20240406T004500Z,Drug Shortage,3,None,Global
2024-04-06,Sanofi gets nod for new polio vaccine in India,tribuneindia.com,https://www.tribuneindia.com/news/business/sanofi-gets-nod-for-new-polio-vaccine-in-india-607856,English,https://englishtribuneimages.blob.core.windows.net/gallary-content/2024/4/2024_4$largeimg_1119426019.webp,20240406T030000Z,Vaccines,2,Sanofi,India
2024-04-05,"Adderall Shortage Led To 10 Percent Fewer Prescriptions Filled , Says Report",reason.com,https://reason.com/2024/04/05/report-adderall-shortage-led-to-10-percent-fewer-prescriptions-filled/,English,https://d2eehagpk5cl65.cloudfront.net/img/q60/uploads/2024/04/dreamstime_xxl_109924388-scaled.jpg,20240405T170000Z,Drug Shortage,3,None,Global
2024-04-05,"Govt . hikes prices of essential medicines again , claims it miniscule",thehindu.com,https://www.thehindu.com/sci-tech/health/govt-hikes-prices-of-essential-medicines-again-claims-its-miniscule/article68028403.ece,English,https://th-i.thgim.com/public/sci-tech/science/e7mty8/article68029459.ece/alternates/LANDSCAPE_1200/iStock-1135284188.jpg,20240405T133000Z,Pricing/Economics,1,None,Global
